Float16l,6.6-F16l-F2-P,Float16l 半精度 LE 场景 F2,parse,Float16l,N=1,signed_le,normal,normal,standalone,1943,226,8.59,false,,,
Float16l,6.6-F16l-F2-B,Float16l 半精度 LE 场景 F2,build,Float16l,N=1,signed_le,normal,normal,standalone,1919,153,12.52,true,,,
Float16l,6.6-F16l-F3-P,Float16l 半精度 LE 场景 F3,parse,Float16l,N=1,signed_le,normal,normal,standalone,1935,227,8.52,false,,,
Float16l,6.6-F16l-F3-B,Float16l 半精度 LE 场景 F3,build,Float16l,N=1,signed_le,normal,normal,standalone,1875,153,12.24,true,,,
Float16l,6.6-F16l-F4-P,Float16l 半精度 LE 场景 F4,parse,Float16l,N=1,signed_le,normal,normal,standalone,1969,228,8.64,false,,,
Float16l,6.6-F16l-F5-P,Float16l 半精度 LE 场景 F5,parse,Float16l,N=1,signed_le,normal,normal,standalone,2038,230,8.87,false,,,
Float32b,6.6-F32b-F1-P,Float32b 单精度 BE 场景 F1,parse,Float32b,N=1,signed_be,normal,normal,standalone,1936,227,8.52,false,,,
Float32b,6.6-F32b-F1-B,Float32b 单精度 BE 场景 F1,build,Float32b,N=1,signed_be,normal,normal,standalone,1891,150,12.61,true,,,
Float32b,6.6-F32b-F2-P,Float32b 单精度 BE 场景 F2,parse,Float32b,N=1,signed_be,normal,normal,standalone,1940,225,8.64,false,,,
Float32b,6.6-F32b-F2-B,Float32b 单精度 BE 场景 F2,build,Float32b,N=1,signed_be,normal,normal,standalone,1884,151,12.45,true,,,
Float32b,6.6-F32b-F3-P,Float32b 单精度 BE 场景 F3,parse,Float32b,N=1,signed_be,normal,normal,standalone,1972,227,8.69,false,,,
Float32b,6.6-F32b-F3-B,Float32b 单精度 BE 场景 F3,build,Float32b,N=1,signed_be,normal,normal,standalone,1882,152,12.42,true,,,
Float32b,6.6-F32b-F4-P,Float32b 单精度 BE 场景 F4,parse,Float32b,N=1,signed_be,normal,normal,standalone,1951,227,8.61,false,,,
Float32b,6.6-F32b-F4-B,Float32b 单精度 BE 场景 F4,build,Float32b,N=1,signed_be,normal,normal,standalone,1946,151,12.87,true,,,
